"","attribute","question","details","id","variable_type","Variable","Title","SELECTION","area"
"392","Q291P4","Parliament","Parliament wants to do its best to serve the country",392,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"393","Q291P5","Parliament","Parliament is generally free of corruption",393,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"394","Q291P6","Parliament","Parliamentâ€™s work is open and transparent",394,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"395","Q291UN1","United Nations","Overall, the UN is competent and efficient",395,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"396","Q291UN2","United Nations","The UN usually carries out its duties poorly",396,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"397","Q291UN3","United Nations","The UN usually acts in its own interests",397,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"398","Q291UN4","United Nations","The UN wants to do its best to serve the world",398,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"399","Q291UN5","United Nations","The UN is generally free of corruption",399,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"400","Q291UN6","United Nations","The UNâ€™s work is open and transparent",400,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"401","Q292A","I am unsure whether to believe most politicians",NA,401,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"402","Q292B","I am usually cautious about trusting politicians",NA,402,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"403","Q292C","In general, politicians are open about their decisions",NA,403,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"404","Q292D","In general, the government usually does the right thing",NA,404,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"405","Q292E","Information provided by the government is generally unreliable",NA,405,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"406","Q292F","It is best to be cautious about trusting the government",NA,406,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"407","Q292G","Most politicians are honest and truthful",NA,407,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"408","Q292H","People in the government often show poor judgement",NA,408,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"409","Q292I","Politicians are often incompetent and ineffective",NA,409,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"410","Q292J","Politicians donâ€™t respect people like me",NA,410,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"411","Q292K","Politicians often put country above their personal interests",NA,411,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"412","Q292L","Politicians usually ignore my community",NA,412,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"413","Q292M","The government acts unfairly towards people like me",NA,413,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"414","Q292N","The government understands the needs of my community",NA,414,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"415","Q292O","The government usually has good intentions",NA,415,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"416","Q293","How much you trust [name of the Head of State]",NA,416,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"417","Q294A","How many world leaders from this list you generally trust (Group A)",NA,417,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"418","Q294B","How many world leaders from this list you generally trust (Group B)",NA,418,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"419","Y001","Post-Materialist index 12-item",NA,419,"WVS Indexes - Post-Materialist index 12-item","Y001","Post-Materialist index 12-item",0,"WVS Indexes"
"420","Y002","Post-Materialist index 4-item",NA,420,"WVS Indexes - Post-Materialist index 4-item","Y002","Post-Materialist index 4-item",0,"WVS Indexes"
"421","Y003","Autonomy Index",NA,421,"WVS Indexes - Autonomy Index","Y003","Autonomy Index",0,"WVS Indexes"
"422","sacsecval","SACSECVAL.- Welzel Overall Secular Values",NA,422,"WVS Indexes - SACSECVAL.- Welzel Overall Secular Values",NA,NA,0,"WVS Indexes"
"423","resemaval","RESEMAVAL.- Welzel emancipative values",NA,423,"WVS Indexes - RESEMAVAL.- Welzel emancipative values",NA,NA,0,"WVS Indexes"
"424","I_AUTHORITY","AUTHORITY - Welzel defiance - 1","Inverse respect for authority",424,"WVS Indexes - AUTHORITY - Welzel defiance - 1: Inverse respect for authority","Y011A","AUTHORITY - Welzel defiance - 1: Inverse respect for authority",0,"WVS Indexes"
"425","I_NATIONALISM","NATIONALISM - Welzel defiance - 2","Inverse national pride",425,"WVS Indexes - NATIONALISM - Welzel defiance - 2: Inverse national pride","Y011B","NATIONALISM - Welzel defiance - 2: Inverse national pride",0,"WVS Indexes"
"426","I_DEVOUT","DEVOUT- Welzel defiance - 3","Inverse devoutness",426,"WVS Indexes - DEVOUT- Welzel defiance - 3: Inverse devoutness","Y011C","DEVOUT- Welzel defiance - 3: Inverse devoutness",0,"WVS Indexes"
"427","defiance","DEFIANCE.- Welzel defiance sub-index",NA,427,"WVS Indexes - DEFIANCE.- Welzel defiance sub-index",NA,NA,0,"WVS Indexes"
"428","I_RELIGIMP","RELIGIMP - Welzel disbelief- 1","Inverse importance of religion",428,"WVS Indexes - RELIGIMP - Welzel disbelief- 1: Inverse importance of religion","Y012A","RELIGIMP - Welzel disbelief- 1: Inverse importance of religion",0,"WVS Indexes"
"429","I_RELIGBEL","RELIGBEL - Welzel disbelief- 2","Inverse religious person",429,"WVS Indexes - RELIGBEL - Welzel disbelief- 2: Inverse religious person","Y012B","RELIGBEL - Welzel disbelief- 2: Inverse religious person",0,"WVS Indexes"
"430","I_RELIGPRAC","RELIGPRAC - Welzel disbelief- 3","Inverse religious practice",430,"WVS Indexes - RELIGPRAC - Welzel disbelief- 3: Inverse religious practice","Y012C","RELIGPRAC - Welzel disbelief- 3: Inverse religious practice",0,"WVS Indexes"
"431","disbelief","DISBELIEF.- Welzel disbelief sub-index",NA,431,"WVS Indexes - DISBELIEF.- Welzel disbelief sub-index",NA,NA,0,"WVS Indexes"
"432","I_NORM1","NORM1 - Welzel relativism- 1","Inverse norm conform1",432,"WVS Indexes - NORM1 - Welzel relativism- 1: Inverse norm conform1","Y013A","NORM1 - Welzel relativism- 1: Inverse norm conform1",0,"WVS Indexes"
"433","I_NORM2","NORM2 - Welzel relativism- 2","Inverse norm conform2",433,"WVS Indexes - NORM2 - Welzel relativism- 2: Inverse norm conform2","Y013B","NORM2 - Welzel relativism- 2: Inverse norm conform2",0,"WVS Indexes"
"434","I_NORM3","NORM3 - Welzel relativism- 3","Inverse norm conform3",434,"WVS Indexes - NORM3 - Welzel relativism- 3: Inverse norm conform3","Y013C","NORM3 - Welzel relativism- 3: Inverse norm conform3",0,"WVS Indexes"
"435","relativism","RELATIVISM.- Welzel relativism",NA,435,"WVS Indexes - RELATIVISM.- Welzel relativism",NA,NA,0,"WVS Indexes"
"436","I_TRUSTARMY","TRUSTARMY- Welzel skepticism- 1","Inverse trust in army",436,"WVS Indexes - TRUSTARMY- Welzel skepticism- 1: Inverse trust in army","Y014A","TRUSTARMY- Welzel scepticism- 1: Inverse trust in army",0,"WVS Indexes"
"437","I_TRUSTPOLICE","TRUSTPOLICE- Welzel skepticism- 2","Inverse trust in police",437,"WVS Indexes - TRUSTPOLICE- Welzel skepticism- 2: Inverse trust in police","Y014B","TRUSTPOLICE- Welzel scepticism- 2: Inverse trust in police",0,"WVS Indexes"
"438","I_TRUSTCOURTS","TRUSTCOURTS- Welzel skepticism- 3","Inverse trust in courts",438,"WVS Indexes - TRUSTCOURTS- Welzel skepticism- 3: Inverse trust in courts","Y014C","TRUSTCOURTS- Welzel scepticism- 3: Inverse trust in courts",0,"WVS Indexes"
"439","scepticism","SCEPTICISM.- Welzel skepticism index",NA,439,"WVS Indexes - SCEPTICISM.- Welzel skepticism index",NA,NA,0,"WVS Indexes"
"440","I_INDEP","INDEP- Welzel autonomy-1","Independence as kid quality",440,"WVS Indexes - INDEP- Welzel autonomy-1: Independence as kid quality","Y021A","INDEP- Welzel autonomy-1: Independence as kid quality",0,"WVS Indexes"
"441","I_IMAGIN","IMAGIN- Welzel autonomy-2","Imagination as kid quality",441,"WVS Indexes - IMAGIN- Welzel autonomy-2: Imagination as kid quality","Y021B","IMAGIN- Welzel autonomy-2: Imagination as kid quality",0,"WVS Indexes"
"442","I_NONOBED","Emancipative Values-1","Obedience not kid quality",442,"WVS Indexes - Emancipative Values-1: Obedience not kid quality","Y021C","NONOBED- Welzel autonomy-3: Obedience as kid quality",0,"WVS Indexes"
"443","autonomy","AUTONOMY.- Wezel Autonomy sub index",NA,443,"WVS Indexes - AUTONOMY.- Wezel Autonomy sub index",NA,NA,0,"WVS Indexes"
"444","I_WOMJOB","WOMJOB- Welzel equality-1","Gender equality",444,"WVS Indexes - WOMJOB- Welzel equality-1: Gender equality: job","Y022A","WOMJOB- Welzel equality-1: Gender equality: job",0,"WVS Indexes"
"445","I_WOMPOL","WOMPOL- Welzel equality-2","Gender equality",445,"WVS Indexes - WOMPOL- Welzel equality-2: Gender equality: politics","Y022B","WOMPOL- Welzel equality-2: Gender equality: politics",0,"WVS Indexes"
"446","I_WOMEDU","WOMEDU- Welzel equality-3","Gender equality",446,"WVS Indexes - WOMEDU- Welzel equality-3: Gender equality: education","Y022C","WOMEDU- Welzel equality-3: Gender equality: education",0,"WVS Indexes"
"447","equality","Emancipative Values-2","Equality sub-index",447,"WVS Indexes - Emancipative Values-2: Equality sub-index",NA,NA,0,"WVS Indexes"
"448","I_HOMOLIB","HOMOLIB- Welzel choice-1","Homosexuality acceptance",448,"WVS Indexes - HOMOLIB- Welzel choice-1: Homosexuality acceptance","Y023A","HOMOLIB- Welzel choice-1: Homosexuality acceptance",0,"WVS Indexes"
"449","I_ABORTLIB","ABORTLIB- Welzel choice-2","Abortion acceptable",449,"WVS Indexes - ABORTLIB- Welzel choice-2: Abortion acceptable","Y023B","ABORTLIB- Welzel choice-2: Abortion acceptable",0,"WVS Indexes"
"450","I_DIVORLIB","DIVORLIB- Welzel choice-3","Divorce acceptable",450,"WVS Indexes - DIVORLIB- Welzel choice-3: Divorce acceptable","Y023C","DIVORLIB- Welzel choice-3: Divorce acceptable",0,"WVS Indexes"
"451","choice","CHOICE.- Welzel choice sub-index",NA,451,"WVS Indexes - CHOICE.- Welzel choice sub-index",NA,NA,0,"WVS Indexes"
"452","I_VOICE1","VOICE1- Welzel voice-1",NA,452,"WVS Indexes - VOICE1- Welzel voice-1","Y024A","VOICE1- Welzel voice-1",0,"WVS Indexes"
"453","I_VOICE2","VOICE2- Welzel voice-2",NA,453,"WVS Indexes - VOICE2- Welzel voice-2","Y024B","VOICE2- Welzel voice-2",0,"WVS Indexes"
"454","I_VOI2_00","VOI2_00- Welzel voice-3 (auxiliary)",NA,454,"WVS Indexes - VOI2_00- Welzel voice-3 (auxiliary)","Y024C","VOI2_00- Welzel voice-3 (auxiliary)",0,"WVS Indexes"
"455","voice","VOICE.- Welzel voice sub-index",NA,455,"WVS Indexes - VOICE.- Welzel voice sub-index",NA,NA,0,"WVS Indexes"
"456","secvalwgt","Weight for overall secular values",NA,456,"WVS Indexes - Weight for overall secular values",NA,NA,0,"WVS Indexes"
"457","resemavalwgt","Weight for Emancipative values",NA,457,"WVS Indexes - Weight for Emancipative values",NA,NA,0,"WVS Indexes"
"458","fhregion","Region (6 groups) [Freedom House, 2019]",NA,458,"Control Variable",NA,"Region (6 groups) [Freedom House, 2019]",0,"Control Variable"
"459","polregfh","Type of political regime (3=Free, 2=Partly Free, 1=Not Free) [Freedom House, 201",NA,459,"Control Variable",NA,"Type of political regime (3=Free, 2=Partly Free, 1=Not Free) [Freedom House, 2019]",0,"Control Variable"
"460","freestfh","Global Freedom StatusÂ (0-min to 100-max) [Freedom House, 2020]",NA,460,"Control Variable",NA,"Global Freedom Status (0-min to 100-max) [Freedom House, 2020]",0,"Control Variable"
"461","prfhrat","Political rights ratingÂ (1=high to 7=low) [Freedom House, 2020]",NA,461,"Control Variable",NA,"Political rights rating (1=high to 7=low) [Freedom House, 2020]",0,"Control Variable"
"462","prfhscore","Political rights pointsÂ (1 min to 40 max) [Freedom House, 2020]",NA,462,"Control Variable",NA,"Political rights points (1 min to 40 max) [Freedom House, 2020]",0,"Control Variable"
"463","clfhrat","Civil LibertiesÂ rating (1=high to 7=low) [Freedom House, 2020]",NA,463,"Control Variable",NA,"Civil Liberties rating (1=high to 7=low) [Freedom House, 2020]",0,"Control Variable"
"464","clfhscore","Civil Liberties pointsÂ (1 min to 60 max) [Freedom House, 2020]",NA,464,"Control Variable",NA,"Civil Liberties points (1 min to 60 max) [Freedom House, 2020]",0,"Control Variable"
"465","democ","Institutionalized DemocracyÂ (0=min to 10=max) [Polity V, 2018]",NA,465,"Control Variable",NA,"Institutionalized Democracy (0=min to 10=max) [Polity V, 2018]",0,"Control Variable"
"466","autoc","Institutionalized AutocracyÂ (0=min to 10=max) [Polity V, 2018]",NA,466,"Control Variable",NA,"Institutionalized Autocracy (0=min to 10=max) [Polity V, 2018]",0,"Control Variable"
"467","polity","Polity combined score for autocracy (-10) to democracy (10) [Polity V, 2018]",NA,467,"Control Variable",NA,"Polity combined score for autocracy-democracy (-10=hereditary monarchy to 10=consolidated democracy) [Polity V, 2018]",0,"Control Variable"
"468","durable","Regime durability (the number of years since the most recent regime change) [Pol",NA,468,"Control Variable",NA,"Regime Durability (the number of years since the most recent regime change) [Polity V, 2018]",0,"Control Variable"
"469","regtype","Regime typeÂ (5 categories) [Polity V, 2018]",NA,469,"Control Variable",NA,"Regime type (1=autocracy; 2=closed anocracy; 3=open anocracy; 4=democracy; 5=full democracy) [Polity V, 2018]",0,"Control Variable"
"470","ruleoflaw","Rule of Law Index (0=min to 1=max) [World Justice Project, 2020]",NA,470,"Control Variable",NA,"Rule of Law Index (0=min to 1=max) [World Justice Project, 2020]",0,"Control Variable"
"471","corrupttransp","Corruption perception index (0=highly corrupt to 100=very clean) [Transparency I",NA,471,"Control Variable",NA,"Corruption perception index (0=highly corrupt to 100=very clean) [Transparency International, 2019]",0,"Control Variable"
"472","electintegr","Index of Perceptions of Electoral Integrity, (0-100), imputed [Electoral Integri",NA,472,"Control Variable",NA,"Index of Perceptions of Electoral Integrity, (0-100), imputed [Electoral Integrity Project 7.0, 2018]",0,"Control Variable"
"473","btiregion","BTI Region (7 categories) [Bertelsmann Stiftung, 2018]",NA,473,"Control Variable",NA,"BTI Region (7 categories) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"474","btistatus","BTI Status Index (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,474,"Control Variable",NA,"BTI Status Index (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"475","btidemstatus","BTI Democracy StatusÂ  (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,475,"Control Variable",NA,"BTI Democracy Status (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"476","btistate","BTI Stateness score  (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,476,"Control Variable",NA,"BTI Stateness score (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"477","btipolpart","BTI Political Participation score  (1=min to 10=max)Â [Bertelsmann Stiftung, 201",NA,477,"Control Variable",NA,"BTI Political Participation score (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"478","btiruleoflaw","BTI Rule of law score  (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,478,"Control Variable",NA,"BTI Rule of law score (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"479","btistability","BTI Stability of democratic institutions score  (1=min to 10=max)Â [Bertelsmann",NA,479,"Control Variable",NA,"BTI Stability of democratic institutions score (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"480","btiintegration","BTI Political & social integration score  (1=min to 10=max)Â [Bertelsmann Stiftu",NA,480,"Control Variable",NA,"BTI Political & social integration score (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"481","btimarket","BTI Market Economy StatusÂ  (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,481,"Control Variable",NA,"BTI Market Economy Status (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"482","btigovindex","BTI Governance IndexÂ  (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,482,"Control Variable",NA,"BTI Governance Index (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"483","btigoveperform","BTI Governance Performance (1=min to 10=max)Â [Bertelsmann Stiftung, 2018]",NA,483,"Control Variable",NA,"BTI Governance Performance (1=min to 10=max) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"484","btiregime","BTI regime type (5 groups) [Bertelsmann Stiftung, 2018]",NA,484,"Control Variable",NA,"BTI regime type (5 groups) [Bertelsmann Stiftung, 2018]",0,"Control Variable"
"485","regionWB","Geographic region (7 groups) [World Bank, 2019]",NA,485,"Control Variable",NA,"Geographic region (7 groups) [World Bank, 2019]",0,"Control Variable"
"486","incomeWB","Income group country [World Bank, 2019]",NA,486,"Control Variable",NA,"Income group country (Low, lower-middle, upper-middle, high) [World Bank, 2019]",0,"Control Variable"
"487","landWB","Land area (sq. km) [World Bank, 2018]",NA,487,"Control Variable",NA,"Land area (sq. km) [World Bank, 2018]",0,"Control Variable"
"488","GDPpercap1","GDP per capita, PPP (current international $) [World Bank, 2019]",NA,488,"Control Variable",NA,"GDP per capita, PPP (current international $) [World Bank, 2019]",0,"Control Variable"
"489","GDPpercap2","GDP per capita, PPP (constant 2017 international $) [World Bank, 2019]",NA,489,"Control Variable",NA,"GDP per capita, PPP (constant 2017 international $) [World Bank, 2019]",0,"Control Variable"
"490","giniWB","GINI index (latest available) [World Bank, 2012-2019]",NA,490,"Control Variable",NA,"GINI index (latest available) [World Bank, 2012-2019]",0,"Control Variable"
"491","incrichest10p","Income share held by richest 10 % [World Bank, 2010-2017]",NA,491,"Control Variable",NA,"Income share held by richest 10 % [World Bank, 2010-2017]",0,"Control Variable"
"492","popWB1990","Population total (1990) [World Bank, 2019]",NA,492,"Control Variable",NA,"Population total (1990) [World Bank, 2019]",0,"Control Variable"
"493","popWB2000","Population total (2000) [World Bank, 2019]",NA,493,"Control Variable",NA,"Population total (2000) [World Bank, 2019]",0,"Control Variable"
"494","popWB2019","Population total (2019) [World Bank, 2019]",NA,494,"Control Variable",NA,"Population total (2019) [World Bank, 2019]",0,"Control Variable"
"495","lifeexpect","Life expectancy at birth, total (years) [World Bank, 2018]",NA,495,"Control Variable",NA,"Life expectancy at birth, total (years) [World Bank, 2018]",0,"Control Variable"
"496","popgrowth","Population growth (annual %)  [World Bank, 2019]",NA,496,"Control Variable",NA,"Population growth (annual %) [World Bank, 2019]",0,"Control Variable"
"497","urbanpop","Urban population (% of total population) [World Bank, 2019]",NA,497,"Control Variable",NA,"Urban population (% of total population) [World Bank, 2019]",0,"Control Variable"
"498","laborforce","Labor force, total  [World Bank, 2019]",NA,498,"Control Variable",NA,"Labor force, total [World Bank, 2019]",0,"Control Variable"
"499","deathrate","Death rate, crude (per 1,000 people) [World Bank, 2018]",NA,499,"Control Variable",NA,"Death rate, crude (per 1,000 people) [World Bank, 2018]",0,"Control Variable"
"500","unemployfem","Unemployment, female (% of female labor force) (modeled ILO estimate)  [World Ba",NA,500,"Control Variable",NA,"Unemployment, female (% of female labor force) (modeled ILO estimate) [World Bank, 2019]",0,"Control Variable"
"501","unemploymale","Unemployment, male (% of male labor force) (modeled ILO estimate)  [World Bank,",NA,501,"Control Variable",NA,"Unemployment, male (% of male labor force) (modeled ILO estimate) [World Bank, 2019]",0,"Control Variable"
"502","unemploytotal","Unemployment, total (% of total labor force) (modeled ILO estimate)  [World Bank",NA,502,"Control Variable",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate) [World Bank, 2019]",0,"Control Variable"
"503","accessclfuel","Access to clean fuels and technologies for cooking (% of population)  [World Ban",NA,503,"Control Variable",NA,"Access to clean fuels and technologies for cooking (% of population) [World Bank, 2016]",0,"Control Variable"
"504","accesselectr","Access to electricity (% of population) [World Bank, 2018]",NA,504,"Control Variable",NA,"Access to electricity (% of population) [World Bank, 2018]",0,"Control Variable"
"505","renewelectr","Renewable electricity output (% of total electricity output)  [World Bank, 2015]",NA,505,"Control Variable",NA,"Renewable electricity output (% of total electricity output) [World Bank, 2015]",0,"Control Variable"
"506","co2emis","CO2 emissions (kt) [World Bank, 2016]",NA,506,"Control Variable",NA,"CO2 emissions (kt) [World Bank, 2016]",0,"Control Variable"
"507","co2percap","CO2 emissions (metric tons per capita)  [World Bank, 2016]",NA,507,"Control Variable",NA,"CO2 emissions (metric tons per capita) [World Bank, 2016]",0,"Control Variable"
"508","easeofbusiness","Ease of doing business index (1=most business-friendly regulations)  [World Bank",NA,508,"Control Variable",NA,"Ease of doing business index (1=most business-friendly regulations) [World Bank, 2019]",0,"Control Variable"
"509","militaryexp","Military expenditure (% of GDP)  [World Bank, 2018]",NA,509,"Control Variable",NA,"Military expenditure (% of GDP) [World Bank, 2018]",0,"Control Variable"
"510","Trade","Trade (% of GDP) [World Bank, 2019]",NA,510,"Control Variable",NA,"Trade (% of GDP) [World Bank, 2019]",0,"Control Variable"
"511","healthexp","Health expenditure (% of GDP)  [World Bank, 2017]",NA,511,"Control Variable",NA,"Health expenditure (% of GDP) [World Bank, 2017]",0,"Control Variable"
"512","educationexp","Government expenditure on education (% of GDP) [World Bank, 2012-2018]",NA,512,"Control Variable",NA,"Government expenditure on education (% of GDP) [World Bank, 2012-2018]",0,"Control Variable"
"513","medageun","Median age (years) [UNDESA, 2020]",NA,513,"Control Variable",NA,"Median age (years) [UNDESA, 2020]",0,"Control Variable"
"514","meanschooling","Mean years of schooling (years) [UNESCO, 2018]",NA,514,"Control Variable",NA,"Mean years of schooling (years) [UNESCO, 2018]",0,"Control Variable"
"515","educationHDI","Education Index (0 to 1) [UNDP, 2018]",NA,515,"Control Variable",NA,"Education Index (0 to 1) [UNDP, 2018]",0,"Control Variable"
"516","compulseduc","Compulsory education, duration (years) [World Bank, 2018]",NA,516,"Control Variable",NA,"Compulsory education, duration (years) [World Bank, 2018]",0,"Control Variable"
"517","gii","Gender Inequality Index (GII) (0 to 1) [UNDP, 2018]",NA,517,"Control Variable",NA,"Gender Inequality Index (GII) (0 to 1) [UNDP, 2018]",0,"Control Variable"
"518","dgi","Gender Development Index (0 to 1) (GDI) [UNDP, 2018]",NA,518,"Control Variable",NA,"Gender Development Index (0 to 1) (GDI) [UNDP, 2018]",0,"Control Variable"
"519","womenparl","Proportion of seats held by women in national parliaments (%) [World Bank, 2019]",NA,519,"Control Variable",NA,"Proportion of seats held by women in national parliaments (%) [World Bank, 2019]",0,"Control Variable"
"520","hdi","Human development index (HDI; 0 to 1) [UNDP, 2018]",NA,520,"Control Variable",NA,"Human development index (HDI; 0 to 1) [UNDP, 2018]",0,"Control Variable"
"521","incomeindexHDI","Income Index (0 to 1) [UNDP, 2018]",NA,521,"Control Variable",NA,"Income Index (0 to 1) [UNDP, 2018]",0,"Control Variable"
"522","humanineqiality","Coefficient of human inequality [UNDP, 2016-2018]",NA,522,"Control Variable",NA,"Coefficient of human inequality [UNDP, 2016-2018]",0,"Control Variable"
"523","lifeexpectHDI","Life expectancy Index (0 to 1) [UNDP, 2018]",NA,523,"Control Variable",NA,"Life expectancy Index (0 to 1) [UNDP, 2018]",0,"Control Variable"
"524","homiciderate","Homicide rate (per 100,000 people) [UNDP, 2012-2018]",NA,524,"Control Variable",NA,"Homicide rate (per 100,000 people) [UNDP, 2012-2018]",0,"Control Variable"
"525","Refugeesorigin","Refugees by country of origin (thousands) [UNHCR, 2018]",NA,525,"Control Variable",NA,"Refugees by country of origin (thousands) [UNHCR, 2018]",0,"Control Variable"
"526","internetusers","Internet users, total (% of population) [ITU, 2017-2018]",NA,526,"Control Variable",NA,"Internet users, total (% of population) [ITU, 2017-2018]",0,"Control Variable"
"527","mobphone","Mobile phone subscriptions (per 100 people) [ITU, 2017-2018]",NA,527,"Control Variable",NA,"Mobile phone subscriptions (per 100 people) [ITU, 2017-2018]",0,"Control Variable"
"528","migrationrate","Net migration rate (per 1,000 people) [UNDESA, 2020]",NA,528,"Control Variable",NA,"Net migration rate (per 1,000 people) [UNDESA, 2020]",0,"Control Variable"
"529","schoolgpi","School enrollment, primary and secondary (gross), gender parity index (GPI) [Wor",NA,529,"Control Variable",NA,"School enrollment, primary and secondary (gross), gender parity index (GPI) [World Bank, 2010- 2018]",0,"Control Variable"
"530","femchoutsch","Children out of school, female (% of female primary school age) [World Bank, 201",NA,530,"Control Variable",NA,"Children out of school, female (% of female primary school age) [World Bank, 2010-2018]",0,"Control Variable"
"531","choutsch","Children out of school (% of primary school age)  [World Bank, 2010-2018]",NA,531,"Control Variable",NA,"Children out of school (% of primary school age) [World Bank, 2010-2018]",0,"Control Variable"
"532","v2x_polyarchy","Electoral democracy index  0 to 1 index  [V-Dem, 2019]",NA,532,"Control Variable",NA,"Electoral democracy index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"533","v2x_libdem","Liberal democracy index  0 to 1 index  [V-Dem, 2019]",NA,533,"Control Variable",NA,"Liberal democracy index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"534","v2x_partipdem","Participatory democracy index  0 to 1 index  [V-Dem, 2019]",NA,534,"Control Variable",NA,"Participatory democracy index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"535","v2x_delibdem","Deliberative democracy index  0 to 1 index  [V-Dem, 2019]",NA,535,"Control Variable",NA,"Deliberative democracy index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"536","v2x_egaldem","Egalitarian democracy index 0 to 1 index  [V-Dem, 2019]",NA,536,"Control Variable",NA,"Egalitarian democracy index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"537","v2x_freexp_altinf","Freedom of Expression and Alternative Sources of Information index 0 to 1 index",NA,537,"Control Variable",NA,"Freedom of Expression and Alternative Sources of Information index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"538","v2x_frassoc_thick","Freedom of association thick index 0 to 1 index  [V-Dem, 2019]",NA,538,"Control Variable",NA,"Freedom of association thick index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"539","v2xel_frefair","Clean elections index 0 to 1 index  [V-Dem, 2019]",NA,539,"Control Variable",NA,"Clean elections index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"540","v2xcl_rol","Equality before the law and individual liberty index 0 to 1 index  [V-Dem, 2019]",NA,540,"Control Variable",NA,"Equality before the law and individual liberty index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"541","v2x_cspart","Civil society participation index 0 to 1 index  [V-Dem, 2019]",NA,541,"Control Variable",NA,"Civil society participation index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"542","v2xeg_eqdr","Equal distribution of resources index 0 to 1 index  [V-Dem, 2019]",NA,542,"Control Variable",NA,"Equal distribution of resources index 0 to 1 index [V-Dem, 2019]",0,"Control Variable"
"543","v2excrptps","Public sector corrupt exchanges [V-Dem, 2019]",NA,543,"Control Variable",NA,"Public sector corrupt exchanges [V-Dem, 2019]",0,"Control Variable"
"544","v2exthftps","Public sector theft [V-Dem, 2019]",NA,544,"Control Variable",NA,"Public sector theft [V-Dem, 2019]",0,"Control Variable"
"545","v2juaccnt","Judicial accountability [V-Dem, 2019]",NA,545,"Control Variable",NA,"Judicial accountability [V-Dem, 2019]",0,"Control Variable"
"546","v2cltrnslw","Transparent laws with predictable enforcement [V-Dem, 2019]",NA,546,"Control Variable",NA,"Transparent laws with predictable enforcement [V-Dem, 2019]",0,"Control Variable"
